YearMonth,gdp
2017-01-01,3830606.0
2017-02-01,3803994.9111111113
2017-03-01,3779959.0888888887
2017-04-01,3753348.0
2017-05-01,3786725.4725274723
2017-06-01,3821215.5274725277
2017-07-01,3854593.0
2017-08-01,3920476.086956522
2017-09-01,3986359.1739130435
2017-10-01,4050117.0
2017-11-01,4051112.032608696
2017-12-01,4052074.967391304
2018-01-01,4053070.0
2018-02-01,4034603.644444444
2018-03-01,4017924.355555556
2018-04-01,3999458.0
2018-05-01,4021156.5714285714
2018-06-01,4043578.4285714286
2018-07-01,4065277.0
2018-08-01,4129386.684782609
2018-09-01,4193496.3695652173
2018-10-01,4255538.0
2018-11-01,4243859.423913044
2018-12-01,4232557.576086956
2019-01-01,4220879.0
2019-02-01,4197902.144444444
2019-03-01,4177148.855555556
2019-04-01,4154172.0
2019-05-01,4161769.912087912
2019-06-01,4169621.087912088
2019-07-01,4177219.0
2019-08-01,4231025.902173913
2019-09-01,4284832.804347826
2019-10-01,4336904.0
2019-11-01,4270715.293478261
2019-12-01,4206661.706521739
2020-01-01,4140473.0
2020-02-01,3936465.7472527474
2020-03-01,3745620.2527472526
2020-04-01,3541613.0
2020-05-01,3647114.098901099
2020-06-01,3756131.901098901
2020-07-01,3861633.0
2020-08-01,3947873.315217391
2020-09-01,4034113.6304347827
2020-10-01,4117572.0
2020-11-01,4092577.2391304346
2020-12-01,4068388.7608695654
2021-01-01,4043394.0
2021-02-01,3999881.711111111
2021-03-01,3960580.288888889
2021-04-01,3917068.0
2021-05-01,3920726.3516483516
2021-06-01,3924506.6483516484
2021-07-01,3928165.0
2021-08-01,4053451.836956522
2021-09-01,4178738.6739130435
2021-10-01,4299984.0
2021-11-01,4295991.739130435
2021-12-01,4292128.260869565
2022-01-01,4288136.0
2022-02-01,4262442.511111111
2022-03-01,4239235.488888889
2022-04-01,4213542.0
2022-05-01,4254981.89010989
2022-06-01,4297803.10989011
2022-07-01,4339243.0
2022-08-01,4405910.184782608
2022-09-01,4472577.369565218
2022-10-01,4537094.0
2022-11-01,4530237.608695652
2022-12-01,4523602.391304348
2023-01-01,4516746.0
2023-02-01,4453465.011111111
2023-03-01,4396307.988888889
2023-04-01,4333027.0
2023-05-01,4368614.252747253
2023-06-01,4405387.747252747
2023-07-01,4440975.0
2023-08-01,4505102.880434782
2023-09-01,4569230.760869565
2023-10-01,4631290.0
2023-11-01,4627974.347826087
2023-12-01,4624765.652173913
2024-01-01,4621450.0
2024-02-01,4584709.549450549
2024-03-01,4550339.450549451
2024-04-01,4513599.0
2024-05-01,4541503.615384615
2024-06-01,4570338.384615385
2024-07-01,4598243.0
